en,pt
How is the depuration capacity of Camamu Bay controlled?,Como é controlado a capacidade de depuração da baía de Camamu?
" From this modernization of the semi-submersible drilling platform, the anchor moored drilling capacity can reach up to possibly how many meters in depth?",A partir dessa modernização da plataforma de perfuração semsubmerssiva a capacidade de perfuração ancorada pode atingir até possívelmente quantos metros de profundidade?
What are the benefits of the InForce Intelligent Well System?,Quais são os benefícios do InForce Intelligent Well System?
What is the purpose of the Petrobras Operations Center?,Qual o objetivo do Centro de Operações da Petrobras?
How is it possible to obtain more accurate analyzes of the quality of the Pirabas Formation reservoir?,Como é possível obter análises mais precisas da qualidade do reservatório Formação Pirabas?
What led Brazil to distance itself from self-sufficiency in oil production until 2005?,O que levou o Brasil a se distanciar da autossuficiência na produção de petróleo até 2005?
What are some of the difficulties found in drilling rock salt?,Quais são algumas dificuldades encontradas em perfurar o pré-sal?
the Velocys combined SMR/FT system for offshore GTL takes advantage of what technology?,o sistema SMR / FT combinado da Velocys para GTL offshore tira proveito de qual tecnologia?
What are the most important oil and natural gas basins in Brazil?,Quais são as bacias de petróleo e gás natural mais importantes do Brasil?
What types of bacteria were used to study the toxicity of water columns?,Que tipos de bactérias foram usadas no estudo de toxicidade das colunas de água?
"Why can't the GTL overall process be considered a CO2 sequestration process yet?
","Por que o processo global do GTL ainda não pode ser considerado um processo de sequestro de CO2?
"
what are the phenomenons associated with rock salt?,quais são os fenômenos associados com a pedra de sal?
What is the name of the Brazilian state-owned company in charge of oil prospecting?,Qual o nome da empresa estatal brasileira que está responsável pela extração de petróleo?
What is the estimate on the amount of oil contained in the Santos Basin?,Qual a estimativa da quantidade de óleo contida na Bacia de Santos?
"What is the water depths in which the Marlim Sul floating production, storage, and offloading vessel works?","Qual é a profundidade em que o navio flutuante de produção, armazenamento e descarga de Marlim Sul trabalha?"
What is Petrobras' interest in artificial lifiting?,Qual o interesse da Petrobras em levantamento artificial?
What's the depth of the Mega oil and gas reservoirs discovered in deep and ultra-deep offshore Brazil?,Qual é a profundidade dos Mega reservatórios de petróleo e gás descobertos em águas profundas e ultraprofundas no litoral brasileiro?
Which are the only floaters able to support surface trees?,Quais são as únicas estruturas flutuantes aptas a receber árvores terrestres?
What is the name of the national service responsible for training nearly 100000 people in the state of Rio Grande do Sul for the Oil and Gas industry?,Qual o nome do serviço nacional responsável por treinar aproximadamente 100000 pessoas no estado do Rio Grande do Sul para a indústria de Óleo e Gás?
What are the main products stored in the rock salts in Brazil's ultra deep water offshore?,Quais são os principais produtos armazenados nas rochas de sal das águas ultra profundas da costa brasileira?
"Of the 23 blocks offered in the second bid of oil exploration offered by Brazil's government in June 2000, how many were not licensed?","Dos 23 blocos oferecidos na segunda licitação de exploração de petróleo oferecida pelo governo brasileiro em junho de 2000, quantos não eram licenciados?"
What are the uncertainty of the brazilian pre-salt ?,Quais são as incertezas do pre sal brasileiro?
What does the acronym SCRs mean?,Qual o significado da sigla SCRs?
Which anthropogenic activities can be related to the high concentration of arsenic in the brazilian coastal environment?,Que atividades antropogênicas podem estar relacionadas à alta concentração de arsênio na costa brasileira?
How many boe were discovered in the presalt of the Santos Basin Tupi?,Quantos boe foram descobertos no Pré Sal de Santos Tupi?
What kind of event could be responsible for cycles of lake variation levels?,Que tipo de evento poderia ser responsável pelos ciclos dos níveis de variação do lago?
What are the differences in circulation in the  Baía de Todos os Santos region between summer and winter?,Quais as diferenças na circulação na região da Baía de Todos os Santos entre o verão e o inverno?
How much will Petrobras invest in the state of Bahia until 2010 in search of oil?,Quanto a Petrobras investirá na no estado da Bahia até 2010 em busca do petróleo?
Who won the first bidding round of LIBRA?,Quem ganhou a primeira rodada de licitações da LIBRA?
Where are most of the Brazilian oil and gas reserves located?,Onde está localizada a maior parte das reservas brasileiras de petróleo e gás?
What data provides clear evidence of intense hydrothermal alteration of northern Campos Basin Pre-Salt reservoirs at deep-burial conditions?,Quais dados fornecem evidências claras de intensa alteração hidrotérmica dos reservatórios do Pré-Sal da Bacia de Campos ao norte em condições de soterramento profundo?
What are the factors that make the Campos Basin so technologically advanced?,Quais são os fatores que tornam a Bacia de Campos tão avançada tecnologicamente?
How did the reseachers use the elements present in the water that were present in the original sediment from the river to assess the impact of the Dam disaster?,Como os pesquisadores usaram os elementos na água que estavam presentes no sedimento original do rio para avaliar o impacto do desastre da Barragem?
Where is Camamu Bay located?,Onde está localizada a Baia de Camamu?
When the Atlanta Field oil extraction project started?,Quando começou o projeto de extração de petróleo no Campo de Atlanta?
In what well was the system installed?,Em que poço foi instalado o sistema?
What was the conclusion over analyzed data from the summer period?,Qual foi a conclusão sobre os dados analisados durante o período de verão?
"In 2008, Petrobras started a program to renew the fleet of marine support at the Brazilian shore. What did this program do?","Em 2008, a Petrobras iniciou um programa para renovar a frota de apoio marinho na costa Brasileira. O que este programa fez?"
Where were the small wells completed using GPT in early seventies?,Onde os pequenos poços foram concluídos usando GPT no início dos anos setenta?
where is Parque das Conchas located ?,onde está localizado o Parque das Conchas?
How many risers can Piranema accommodate?,Quantos risers Piranema pode acomodar?
Where can the Antillean manatee Trichechus manatus manatus be found?,Onde pode ser encontrado o peixe-boi das Antilhas Trichechus manatus manatus?
"To ensure the efficiency of the Carbon Capture and Geological Storage (CCGS) project, a CO2 monitoring program for the Santos Basin pre-salt reservoir is being considered, which adversities it might face?","Para garantir a eficiência do projeto de Captura e Armazenamento Geológico de Carbono (CCGS), está sendo considerado um programa de monitoramento das reservas de pré-sal da Bacia de Santos, quais adversidades ele poderá enfrentar?"
"Wich of the control strategies presented the best performance, for most of the controlled variables?","Qual das estratégias de controle apresentou melhor desempenho, para a maioria das variáveis ​​controladas?"
What are the fundamental characteristics for the management and conservation of fishing resources,Quais são as características fundamentais para a gestão e conservação de recursos pesqueiros
What are the conditions for water-based mud mixed with gas inflow to form hydrates that strangle and paralyze a drill in the ocean?,Quais as condições para lama a base de agua misturada com influxo de gás formar hidratos que estrangulam e paralisam uma broca no oceano?
"With the inclusion of the Manati field, the state of Bahia produces how many cubic meters of gas per day?","Com a inclusão do campo de Manati, o estado da Bahia  produz quantos metros cúbicos de gás por dia?"
What is the Sevan Stabilized Platform Piranema?,O que é o Sevan Stabilized Platform Piranema?
What does GHSZ stand for?,O que a sigla GHSZ quer dizer?
What is HPHT?,O que é HPHT?
"What factors hinder the structure and functioning of the coastal maritime ecosystem
coastal?","Quais fatores prejudicam a estrutura e o funcionamento do ecossistema marítimo costeiro
costeiro?"
What were the metals found in the sediment profile in Coroa de Boi Bay?,Quais foram os metais encontrados no perfil de sedimento na Baía Coria de Boi?
"What is the distance between the reservoir in Campos Basin, initially discovered in January 2001, and the coast?","Qual a distância entre o reservatório da Bacia de Campos, descoberto inicialmente em janeiro de 2001, e o litoral?"
How has the drilling and completion in Campos Basin evolved?,Como evoluiu a perfuração e completação na Bacia de Campos?
" Considering the development of new methods to optimize the embarkation and disembarkation in offshore platforms in Brazil, with the use of HUB. For what purpose are experimental tests carried out at the Wave and Currents Laboratory of the Federal University of Rio de Janeiro?","Considerando o desenvolvimento de novos métodos de otimizar o embarque e desembarque em plataformas offshore no Brasil, com a utilização de HUB. Com qual objetivo são realizados testes experimentais no Laboratório de Ondas e Correntes da Universidade Federal do Rio de Janeiro?"
" Which of the concentrations of labile fractions (Cr, Ni and V) represents less damage to biodiversity due to the desorption of surface sediments in resuspension events?
","Das concentrações de fração lábil (Cr, Ni e V), qual representa um menor dano à biodiversidade por conta da dessorção de sedimentos superficiais em eventos de ressuspensão?"
Where is the additional subsea separation and boosting system contract for the brownfield Congro and Corvina development that Petrobras awarded to FMC?,Onde é o contrato do sistema de separação submarina e reforço para o desenvolvimento do campo marrom Congro e Corvina que a Petrobras deu para a FMC?
What is special about Mexilhao plataform?,O que a plataforma mexilhao tem de especial?
What did Petrobras' maritime support fleet renewal program include?,O que o programa de renovação da frota de apoio marítimo da Petrobras incluiu?
Which type of soil has a range of pH between 5.0 and 6.0?,Qual tipo de solo tem um intervalo de pH entre 5.0 e 6.0?
What is the main goal of the low shear valve?,Qual o principal objetivo da válvula de baixo cisalhamento?
What kind of practice increases the risk of serious accidents?,Que tipo de prática aumenta o risco de acidentes graves ?
Why is it important to access the risks associated with offloading operations?,Porque é importante acessar os riscos associados à operações de descarregamento?
What kind of modifications on estuarine inlet morphology can climate change induce?,Que tipo de modificações na morfologia das enseadas estuarinas as mudanças climáticas podem induzir?
What is the name of the agreement that authorized the Brazilian Government to assign 5 billion barrels of oil equivalent to Petrobras in 2010?,Qual é o nome do acordo que autorizou o governo brasileiro a atribuir 5 bilhões de barris de petróleo equivalentes à Petrobras em 2010?
What are the advantages of Phase II of the development plan conceived for Albacora field start?,Quais são as vantagens da Fase II do plano de desenvolvimento concebido para o início do campo de Albacora?
What is SAASS?,O que é o SAASS?
"During and after the exposure of bottom currents, the diapir is tightly
detour at the bottom of the sea. What can this interaction cause?","Durante e após a exposição de correntes de fundo, o diapiro é fortemente desviado no fundo do mar. O que essa interação pode causar?"
What does the mouth closure of functional estuaries causes?,O que causa o fechamento da boca de estuários funcionais?
What is the extension of the brazilian offshore that extends from the Sergipe Basin to Santos Basin and has a big reservoir of Cretaceous era salt?,Qual é a extensão do offshore brasileiro que se estende da Bacia de Sergipe até a Bacia de Santos e possui um grande reservatório de sal do Cretáceo?
What is the SeismicStar service?,O que é o serviço SeismicStar?
There is evidence that compressive structures that affect Cretaceous sedimentary rocks in areas close to previously mapped transfer failures appear to have caused topographic elevations on the platform where coarse bioclastic sedimentation predominates. Does this elevation help to define what kind of sediment accumulation?,Há evidências que estruturas compressivas que afetam rochas sedimentares do Cretáceo em áreas próximas a falhas de transferência previamente mapeadas parecem ter originado elevações topográficas na plataforma onde predomina a sedimentação bioclástica grosseira. Essa elevação ajudam a delimitar que tipo de acumalação de sedimentos?
What is the estimated oil processing capacity of the P-50 ship?,Qual a capacidade estimada de processamento de petróleo do navio P-50?
What are the necessary precautions to implement the Tender-assisted drilling (TAD) technique?,Quais são os cuidados necessários para implantar a técnica de perfuração Tender-assisted drilling (TAD)?
Where is Petrobras evaluating a potential pre-salt reservoir?,Onde a Petrobras está avaliando um potencial reservatório do pré-sal?
"What does the the jacket for the santos basin exploration, designed by Interconsult (Micoperi) has of difference ?","O que a jaqueta para exploração da bacia de santos, desenhada pela Interconsult (Micoperi) tem de diferença?"
How are called the three megassequences of the Cear basin sedimentary fill?,Como são chamadas as três megassequências do enchimento sedimentar da bácia do Ceará?
What are the three fundamental elements taht support Petrobras program for digital integrated field management?,Quais são os três elementos fundamentais que sustentam o programa Petrobras de gestão digital integrada do campo?
"Resultados de tradução
What is the main mode of transport that would lose space in Brazil, if maritime cabotage services were further developed?","Qual a principal modalidade de transporte que perderia espaço no Brasil, caso os serviços de cabotagem marítima fossem mais desenvolvidos?"
How far away are the two pilot fields used in the pre-salt exploration development strategy?,A que distância ficam os dois campos pilotos utilizados na estratégia de desenvolvimento da exploração do pré-sal?
How was the methodology tested before the pipe laying campaign?,Como a metodologia foi testada antes da campanha de colocação de tubos?
"For how much of the Brazilian oil production are the oil fields of Roncador, Marlim Sul, Marlim Leste, Barracuda, Caratinga and Albacora Leste responsible?","Por quanto da produção brasileira de petróleo os campos de Roncador, Marlim Sul, Marlim Leste, Barracuda, Caratinga e Albacora Leste são responsáveis?"
"Other than the acoustic monitoring in oceans, what other contributions did the SAASS's development bring?","Além do monitoramento acústico nos oceanos, quais outras contribuições o desenvolvimento do SAASS trouxe?"
Which was the total output of oil and NGL in the Campos basin during the first 4 months of 2004?,Qual foi a produção total de óleo e GNL na bacia de Campos durante os 4 primeiros meses de 2004?
Why are estimates of directional wave spectra easy to perform?,Por que as estimativas de espectros de ondas direcionais são fáceis de realizar?
"What do the analysis of the four patterns of pockmark matrices identified on the continental slope of the Santos Basin, offshore in southeastern Brazil suggest?","O que a análise dos quatro padrões de matrizes pockmark identificados na encosta continental da Bacia de Santos, offshore no sudeste do Brasil sugerem?"
"calcareous can form correlations with any elements, which one it does not form a strong correlation with?","calcário pode formar ligações com quaisquer elementos, com qual deles não forma uma ligação forte?"
Why has the new technique been a topic of discussion in Petrobras?,Por que a nova técnica se tornou um tópico de discussão na Petrobrás?
What does the Pirabas Formation of the Aricuru outcrop consist of?,No que consiste a Formação Pirabas do afloramento Aricuru?
What is the two contrasting models that exist for the formation of seaward dipping reflectors?,Quais são os dois modelos contrastantes que existem para a formação de refletores de imersão voltados para o mar?
How can global warming accelerate the average rise in sea level?,Como o aquecimento global pode acelerar o aumento médio do nível do mar?
What assets from the Brazilian field are studied by GeDIg?,Quais ativos nas áreas de atuação do Brasil são estudados pela GeDIg?
Who does studies related to the closure of the well in the Santos Basin,Quem faz estudos relacionados a fechamento de poço na Bacia de Santos?
" When a new oil block is discovered, it is necessary some data to evaluate well profitability. Is pressure verification a useless data for this activity?","Quando um novo bloco de óleo é descoberto, são necessários alguns dados para avaliar a lucratividade do poço. A verificação de pressão é um dado inútil para esta atividade?"
What seems to be a viable option to mantain depths of 17 m DHN in the Port of Santos?,O que demonstra ser uma opção viável para manter profundidades de 17m DHN no Porto de Santos?
Who were the top bidders for the blocks?,Quem foram os maiores investidores nos blocos?
What technology turned Brazil into one of the leaders in the exploration of deepwaters?,Que tecnologia tornou o Brasil um dos líderes na exploração de águas profundas?
How was the model built?,Como o modelo foi construído?
What events helped to formalize and put into practice the legal issues regarding the oceanic area of Brazil?,Quais eventos ajudaram a formalizar e colocar em prática as questões legais a respeito da área oceânica do Brasil?
Where was successfully achieved the first-in-the-world electrical submersible pumps (ESP) installation in a subsea well?,Onde foi realizada com sucesso a primeira instalação de bombas submersíveis elétricas em um poço submarino?
When will Brazil reach oil self-sufficiency?,Quando o Brasil irá alcançar autossuficiência em petróleo?
When was the Roncador field found by Petrobras?,Quando o campo de Roncador foi descoberto pela Petrobrás?
What are the information taken as reference about platforms located offshore Brazil?,Quais são as informações tidas como referência sobre as plataformas localizadas no offshore do Brasil?
What is replacing the flooded areas of the Rio Grande do Norte fluvial-marine plain?,O que está substituindo as áreas alagadas da planície flúvio-marinha do Rio Grande do Norte?
What is an important advantage of the Chain Table Interface?,Qual é uma vantagem importante da Chain Table Interface?
" 
What are the main threats to the productivity of the ecosystem and the quality of the habitat of the Northern Platform of Brazil?",Quais são as principais ameaças à produtividade do ecossistema e à qualidade do habitat da Plataforma Norte do Brasil?
What impact did the Guanabara oil spilling pollution caused in foraminiferal taphonomic assemblages?,Qual o impacto que a poluição do derramamento do óleo da Guanabara causou nas assembléias tafonômicas foraminíferas?
What could be the cause of increased reserves and productions in Offshore Brazil as well as significant cost reduction?,"Qual poderia ser a causa do aumento das reservas e produções no mar alto do Brasil, bem como da redução significativa de custos? "
What are the two fundamental problems of safety management systems (PSMS) in the offshore oil and gas industry?,Quais são os dois problemas fundamentais dos sistemas de gestão de segurança (PSMS) na indústria offshore de petróleo e gás?
Where were the reservoir production simulations performed to analyze the effects of changes in pressure and fluid saturation?,Onde foram realizadas as simulações de produção de reservatório para análise dos efeitos das mudanças na pressão e saturação de fluido?
What method can be used to estimate air–sea sensible- and latent-heat fluxes?,Qual método  pode ser usado para estimar os fluxos ar-mar de calor sensível e latente?
What needed to be analised simultaneously with the collection of biological and sediment samples on Guajará Bay?,O que precisoui ser analisado simultâneamente com a coleta de amostras biológicas e de sedimento na Baía do Guajará?
What may large volume semi-submersible units present?,O que as unidades semissubmersíveis de grande volume podem apresentar?
what does some of the deepwater Offshore reservoir present?,o que alguns dos reservatório offshore de águas profundas apresenta?
What are the most important aspects of the helicopters used by PETROBRÁS?,Quais são os aspectos mais importantes dos helicópteros usados pela PETROBRÁS?
The last major discovery of Brazil in this context was in 1996. Was it related with Campos Basin too?,A última grande descoberta do Brasil nesse contexto foi em 1996. Também tinha relação com a Bacia de Campos?
" Where did the ""Vessel Vergina II"" oil spill occur?","Onde ocorreu o derramamento de óleo do ""Vessel Vergina II""?"
What is the Procap-2000 and what's its importance?,O que é o Procap-2000 e qual foi a sua importância?
How much did Petrobras invest in the Manati field to develop gas production?,"Quanto a Petrobras investiu no campo de Manati, para desenvolver a produção de gás?"
Which aspects were treated about the Zeuxo coralensis – Anatanais ohlini?,Quais aspectos foram tratados sobre a Zeuxo coralensis – Anatanais ohlini?
What was the first floating unit in brazil?,Qual foi a primeira unidade flutuante do Brasil?
When the first major discovery of the pre-salt region was announced?,Quando foi anunciada a primeira grande descoberta da região do pré-sal?
What LNG terminals integrate the Petrobras LNG system?,Quais terminais de GNL integram o sistema Petrobras GNL?
When and where did the first floating production unit entered on stream in Brazil?,Quando e onde entrou em operação a primeira unidade de produção flutuante no Brasil?
"What are the floating vessel Piranema's production, storage, and offloading design characteristics?","Quais são as características de projeto do navio flutuante de produção, armazenamento e descarregamento Piranema?"
how much gas is the Espadarte Sul FPSO able to compress?,qual a quantidade de gás que o FPSO de Espadarte Sul consegue comprimir?
When did the first installation of an Electric Submersible Pump take place in an underwater well?,Quando ocorreu a primeira instalação de uma Bomba Elétrica Submersível em um poço subaquático?
What is usually found in the Santos Basin's Pre-Salt fields that is an contaminant for the metallic layers of the flexible pipes?,O que é normalmente encontrado nos campos de pré-sal da Bacia de Santos que é um contaminante para as camadas metálicas dos tubos flexíveis?
What is the minimum depth needed to starting oil and gas production?,Qual a profundidade mínima necessária para se começar a produção de petróleo e gás natural?
" 
Name characteristics of the Cabo Frio region, on the southeast coast of Brazil.","Cite características da região de Cabo Frio, da costa sudeste brasileira."
" What generated squall line in the city of Rio de Janeiro on the night of March 16, 2015?",o que gerou a linha de instabilidade na Cidade do Rio de Janeiro na noite de 16 de março de 2015?
Why did the Pirataba and Faxinal forests expanded in the late Holocene?,Por que as florestas Pirataba e Faxinal expadiram no final do período holoceno?
Where are The Santos Basin Pre-salt reservoirs located?,Onde estão localizados os reservatórios de Pré-Sal da Bacia de Santos?
What data is obtained from the Drill-Stem Tests (DSTs)?,Quais dados são obtidos a partir do teste de haste de perfuração (DST - Drill Stem Test)?
What was the main process that conditioned the evolution of a carbonate platform on the south bank of Tethyan to pelagic plateau depositional systems?,Qual foi o principal processo que condicionou a evolução de uma plataforma carbonática na margem sul de Tethyan para sistemas deposicionais de planalto pelágico?
What is also conducted to investigate the variability of the large-scale environment with different types of convective systems?,O que também é realizado para investigar a variabilidade do ambiente em grande escala com diferentes tipos de sistemas convectivos?
"Why did Petrobras postpone the construction of the gas pipelines in the Espírito Santo basin, in Peroa-Cangoa?","Por que a Petrobrás adiou a construção dos gasodutos da bacia do Espírito Santo, em Peroa-Cangoa?"
What is the condition known as SCC?,O que é a condição conhecida como SCC?
What is SBMS-500?,O que é o SBMS-500?
Why do Foraminifera is a good proxy of climatic changes during the Cenozoic?,Por que foraminíferos são um bom indicador das mudanças climáticas durante o Cenozóico?
What has increased with the increment of PETROBRÁS’s activities of exploration and production in Campos Basin?,"O que aumentou com o incremento das atividades de exploração e produção da PETROBRÁS, na Bacia de Campos"
What is Oracle's role in the RECOS project?,Qual é o papel da Oracle no projeto RECOS?
"In which sector of the Campos Basin, planktonic cold water species were found most abundantly?","Em qual setor da Bacia de Campos foram encontradas, mais abundantemente, espécies planctônicas de água fria?"
Where does the Brazilian salt giant extend?,Por onde o gigante sal brasileiro se extende?
What is the origin of the isolated islands in the Trindade-Martin Vaz Archipelago?,Qual a origem das ilhas isoladas do Arquipélago Trindade-Martin Vaz?
Which companies are involved in the Parque das Conchas project?,Quais empresas estão envolvidas no projeto Parque das Conchas?
What does the DSI contributes with?,Com o que o DSI contribui?
What can be associated with the discovery of higher concentrations of larvae at night?,O que pode ser associado com a descoberta de maiores concentrações de larvas à noite?
Why did BG Group' estimate of the amount of Tupi oil in the Santos basin differ from that of Petrobras?,Por que a estimativa do BG Group para a quantidade de óleo de Tupi na bacia de Santos diferiu da da Petrobras?
What is the name of the program responsible for the development of new technologies for offshore heavy oil fields?,Qual é o nome do programa responsável pelo desenvolvimento de novas tecnologias para os campos de petróleo pesado em alto mar?
What is the results of the drought in Eastern Brazil?,Quais são os resultados da seca no Brasil oriental?
Which subsidiary of the Oxford Catalysts Group was involved in the development of a technology that uses unwanted gas produced during offshore oil drilling?,Qual subsidiária do grupo Oxford Catalysts Group esteve no desenvolvimento de uma tecnologia que utiliza gás indesejado produzido durante a perfuração de petróleo fora da costa?
What are the effects of exposure to males of the species Calomys laucha?,Quais os efeitos da esposição aos machos da espécie Calomys laucha?
What is the most productive oil province in Brazil?,Qual é a província petrolífera mais produtiva do Brasil?
What is the role of the computer program in the research?,Qual é o papel do programa de computador na pesquisa?
What often characterizes relationships between social groups?,O que frequentemente caracteriza relações entre grupos sociais?
How many barrels of petroleum are expected in the pre-salt region?,Quantos barris de petróleo são esperados no pré-sal?
" What is the name of the pipelay barge which will perform the offshore installation?
","Qual o nome da barcaça responsável pela instalação do offshore?
"
What are the reasons why the pre salt is different from other analogue reservoirs around the world ?,Quais são os motivos pelos quais o pré-sal é diferente de outros reservatórios analógicos ao redor do mundo?
What area was affected by the oil spill at the Presidente Getúlio Vargas refinery at Petrobras in 2000?,Qual a área afetada pelo derramamento de petróleo na refinaria Presidente Getúlio Vargas da Petrobras no ano 2000?
Which two sensing devices were responsible for monitoring the oil spill?,Quais foram os dois dispositivos de sensoriamento que foram responsáveis pela monitoração do derramamento de óleo?
What did the national fleet renewal program include?,O que o programa nacional de renovação da frota incluía?
What are some characteristics that should be considered when identifying different liquefaction processes?,Cite algumas das características que devem ser consideradas na identificação de diferentes processos de liquefação.
